ST_LABEL,L_ZIP,R_ZIP
228 ST,11411,11411
192 ST,11358,11358
LACONIA AV,10469,10469
BRUCKNER BLVD,10465,10465
GRAND CONCOURSE,10452,10451
FURMANVILLE AV,11379,11379
E 168 ST,10456,10456
FRANKLIN D ROOSEVELT DRIVE,10010,10010
W 185 ST,10033,10033
ATLANTIC AV,11419,11419
82 AV,11426,11426
BAYSWATER AV,11691,11691
MAJOR DEEGAN EXPWY ET 9 SB,10453,10453
NEWTON ST,11222,11222
GANSEVOORT ST,10014,10014
SMART ST,11355,11355
WINDERMERE RD,10305,10305
WOODBINE ST,11237,11237
63 ST,11378,11378
LIVINGSTON AV,10314,10314
48 ST,11219,11219
ALLEY,11236,11236
236 ST,11422,11422
BELT PKWY,11224,11224
64 PL,11385,11385
144 AV,11413,11413
PAULDING AV,10466,10466
BENSON AV,11214,11214
LAFAYETTE AV,10473,10473
JOHN ST,10038,10038
WHITESTONE EXWY SB EN 20 AV,11357,11357
GRANITE AV,10303,10303
35 AV,11354,11354
STEINWAY PL,11105,11105
E 91 ST,11236,11236
ALLEY,11209,11209
QUEENS BLVD,11101,11101
CARLTON AVE,11205,11205
ELMHURST AV,10301,10301
KINGSTON AV,11225,11225
WALDEN AV,10306,10306
OAK DR,11691,11691
NATIONAL ST,11368,11368
CROSS BRONX EXWY,10460,10460
VERNON AV,10309,10309
DELAFIELD AV,10310,10310
VAN SINDEREN AV,11207,11207
W 233 ST,10463,10463
AV K,11236,11236
LAKEWOOD AV,11435,11435
WHITE ST,11206,11206
71 RD,11367,11367
OCEANA DR E,11235,11235
E 233 ST,10466,10466
NOSTRAND AV,11210,11210
54 ST,11378,11378
127 ST,11356,11356
W 148 ST,10031,10031
UNNAMED ST,10044,10044
ADAMS HOUSES PEDESTRIAN PATH,10455,10455
STEINWAY ST,11105,11105
163 ST,11432,11432
RED CROSS PL,11201,11201
BARROW ST,10014,10014
MORRIS ST,10309,10309
ALLEY,,
ALLEY,,
ALLEY,,
FLUSHING AV,11378,11378
3 AV,10065,10065
HOLLAND TUN APPR,10013,10013
BRUCKNER BLVD,10474,10474
COLONIAL ROAD,11426,11426
82 AV,11435,11435
BELT PKWY,11224,11224
E 162 ST,10451,10451
NUGENT AV,10305,10305
MARTHA AV,10470,10470
MARINE AV,11209,11209
X ST,10473,10473
95 AV,11416,11416
W 32 ST,11224,11224
ANCHOR PL,10305,10305
78 AV,11375,11375
FIELDSTON RD,10471,10471
E 96 ST,11236,11236
FILLMORE AV,11234,11234
AV L,11230,11230
HARVEY AV,10314,10314
OCEAN PKWY,11223,11223
GREENWICH ST,10007,10007
EVERGREEN AV,11221,11221
120 AV,11411,11411
106 AV,11429,11429
ALLEY,11374,11374
90 AV,11423,11423
PITKIN AV,11417,11417
ALLEY,11102,11102
WOODCUTTERS LA,10306,10306
BRUCKNER BLVD,10454,10454
DEERFIELD RD,11691,11691
E 37 ST,11210,11210
ALEX CIR,10305,10305
CROSS BRONX EXWY,10465,10465
110 AVE,11433,11433
164 ST,11366,11366
CHAFFEE AV,10465,10465
E 176 ST,10457,10457
ROSS AV,10306,10306
JFK TERMINAL 4 ACCESS ROAD,11430,11430
79 ST,11421,11421
AV J,11210,11210
CROSS BAY BLVD,11414,11414
12 ST,11215,11215
ALLEY,11372,11372
DEVOE ST,11211,11211
133 AV,11420,11420
PINEVILLE LA,11413,11413
WAINWRIGHT AV,10312,10312
MYRTLE AV,11385,11385
JAMAICA AV,11428,11428
EAST RD,10044,10044
BROOKLYN QUEENS EXPY EXIT 39W WB,11377,11377
CAROLINA RD,11362,11362
ATKINS AV,11208,11208
MARSDEN ST,11434,11434
45 DR,11361,11361
ST NICHOLAS AV,10026,10026
111 AV,11435,11435
SAULTELL AV,11368,11368
LINCOLN PL,11238,11238
85 DR,11432,11432
AV A,11236,11236
METROPOLITAN AV,11415,11415
FILLMORE AV,11234,11234
LAKE AV,10303,10303
WOODHAVEN BLVD,11374,11374
HICKS ST,11231,11231
QUEENS BLVD,11375,11375
LINDEN BLVD,11207,11207
FRANKLIN D ROOSEVELT DRIVE,10028,10028
102 ST,11414,11414
BERGEN ST,11213,11213
BRATTLE AV,11362,11362
SHORE RD,11695,11695
CANTON CT,11229,11229
BEACH 108 ST,11694,11694
219 ST,11428,11428
GRATTAN ST,11237,11237
HUGH L CAREY TUNNEL APPROACH,10006,10006
WILSON AV,11237,11237
PROSPECT CT,11413,11413
149 AV,11417,11417
AV O,11204,11204
QUEENS MIDTOWN TUN,11101,11101
E 169 ST,10456,10456
FRANKLIN D ROOSEVELT DRIVE,10002,10002
CARLTON BLVD,10312,10312
CLOVE LAKES PARK PATH,,
98 ST,11369,11369
LENHART ST,10307,10307
TIDES ROAD,11692,11692
CONNECTOR,11203,11203
175 ST,11365,11365
111 AV,11433,11433
13 AVE,11105,11105
X BAY BR EN RP,11693,11693
COTTAGE ROW,10310,10310
STANHOPE ST,11237,11237
108 ST,11368,11368
KANSAS AV,10305,10305
SOUTHGATE PLZ,11413,11413
W 12 ST,11204,11204
GRAND CENTRAL PARKWAY ET 3 EB,11103,11103
ATTORNEY ST,10002,10002
WOODROW RD,10309,10309
FAILE ST,10474,10474
126 ST,11368,11368
165 ST,11358,11358
REVERE AV,10465,10465
LITTLE NECK PKWY,11004,11004
ED KOCH QUEENSBORO BRIDGE AP,10022,10022
SEDGWICK AV,10468,10468
RIVERDALE AVE,10463,10463
97 ST,11374,11374
DRIVEWAY,11203,11203
94 ST,11373,11373
2 PL,10280,10280
AV L,11236,11236
BROOKLYN WATERFRONT GREENWAY,11201,11201
OREGON RD,10305,10305
BLEECKER ST,10014,10014
148 DR,11422,11422
WESTCHESTER AV,10459,10472
ALLEY,,
E 170 ST,10456,10456
LINDEN BLVD,11412,11412
MEADOW LAKE DR,11367,11367
MAIN ST,11367,11367
E 63 ST,10065,10065
BROOKLYN BRIDGE PED AND BIKE PTH,10038,10038
QUENTIN RD,11223,11223
KATAN AV,10308,10308
32 AV,11377,11377
BRIGHTON 3 ST,11235,11235
ALBANY AV,11210,11210
EVERETT AV,11229,11229
BQE EB ENTRANCE VANDERVOORT AVE,11222,11222
39 RD,11363,11363
ALVERSON AV,10309,10309
RETFORD AV,10312,10312
AMBOY RD,10306,10306
ALMEDA AV,11692,11692
23 AV,11105,11105
BORINQUEN PL,11211,11211
BROADWAY,10003,10003
VAN WYCK EXPY,11418,11418
156 AV,11414,11414
70 ST,11377,11377
BUTTERFLY GARDEN PATH,10460,10460
BELT PKWY EXIT NB,11411,11411
CONNECTOR,11432,11432
75 AV,11375,11375
VESTRY ST,10013,10013
CROSS BRONX EXPWY ET 1 D SB,10453,10453
DEAN ST,11201,11201
VWE NB EN UNION TP,11367,11367
N BURGHER AV,10310,10310
CROSS ISLAND PKWY,11357,11357
KINGSBRIDGE TER,10463,10463
UNITED NATIONS AV S,11355,11355
ALLEY,11372,11372
GLENWOOD RD,11210,11210
E HOUSTON ST,10002,10002
COLLEGE OF STATEN ISLAND DVWY,10314,10314
BRE EB EN MDE,10454,10454
VAN SICLEN CT,11207,11207
68 DR,11375,11375
PEDESTRIAN PATH,10473,10473
FARMERS BLVD,11434,11434
BROOKLYN QUEENS EP ET 35 W WB,11104,11104
56 ST,11220,11220
BISMARK AV,10301,10301
WEBB AV,10468,10468
E 214 ST,10467,10467
NEPTUNE AV,11235,11235
195 ST,11358,11358
36 ST,11105,11105
E 99 ST,11236,11236
RYE AVE,10312,10312
BRUCKNER EXPY EXIT 8C NB,10465,10465
E 54 ST,11234,11234
MARLBOROUGH RD,11226,11226
DECKER AV,10302,10302
123 ST,11356,11356
93 ST,11372,11372
45 AV,11358,11358
ALLEY,11209,11209
FRANKLIN D ROOSEVELT DRIVE,10029,10029
PUGSLEY AVE PEDESTRIAN OPAS,10473,10473
CHURCH ST,10013,10013
64 AV,11365,11365
215 PL,11361,11361
223 ST,11411,11411
BEACH 143 ST,11694,11694
EASTERN PARKWAY BIKE PATH,11213,11213
WESTWOOD AV,10314,10314
INDEPENDENCE AV,10314,10314
BROADWAY,10471,10471
SPRING CREEK GREENWAY,11239,11239
CROSS IS PKWY,11363,11363
5 ST,11215,11215
GRAND CENTRAL PARKWAY ET 14 EB,11367,11367
115 AV,11411,11411
TROUTMAN ST,11237,11237
172 ST,11432,11432
GRAND CENTRAL PKWY,11362,11362
218 PL,11429,11429
BROOK AV,10455,10455
79 ST,11421,11421
VAN WYCK EXPY,11355,11355
12 ST,11102,11102
MENAHAN ST,11385,11385
RIVERSIDE DR,10025,10025
ARLINGTON AV,11207,11207
12 AV,10027,10027
PEDESTRIAN OPAS,11218,11218
PRIORE RD,10035,10035
162 ST,11432,11432
W 179 ST,10453,10453
FRANCIS LEWIS BLVD,11411,11411
E 158 ST,10451,10451
266 ST,11001,11001
SYCAMORE ST,10312,10312
THROGS NECK EXPY,10465,10465
RANDALL AV,10474,10474
PARK AVE,11205,11205
HUNTERS PT AV,11101,11101
CONNECTOR,11229,11229
E NEW YORK AV,11212,11212
LLOYD CT,11223,11223
MANOR RD,10314,10314
255 ST,11422,11422
7 AV,11357,11357
AV Y,11234,11234
99 ST PEDESTRIAN OPAS,11374,11374
BOWNE ST,11355,11355
SOUTHERN BLVD,10458,10458
BRIGHTON AV,10301,10301
AV O,11234,11234
87 ST,11209,11209
DR MLK JR BLVD EN WASHINGTON BR,10452,10452
41 AV,11355,11355
HAMILTON AVE,11231,11231
220 ST,11364,11364
CHARLESTON AV,10309,10309
ALEX HAMILTON BR,10033,10033
BATTERY PARK UNDERPASS,10004,10004
VLEIGH PL,11367,11367
62 ST,11377,11377
DELANCEY ST,10002,10002
80 ST,11421,11421
UTOPIA PKWY,11365,11365
THOLLEN ST,10306,10306
CLEARVIEW EXWY,11364,11364
RESERVOIR AV,10468,10468
REMINGTON ST,11435,11435
DELANCEY ST,10002,10002
253 ST,11426,11426
GIORDAN CT,10303,10303
134 ST,11420,11420
RAMP,11201,11201
36 ST,11218,11218
MCGUINNESS BOULEVARD,11222,11222
E 222 ST,10469,10469
FINGAL ST,10312,10312
ROOSEVELT WALK,11697,11697
PENNSYLVANIA AV,11239,11239
189 ST,11358,11358
147 AV,11422,11422
MANOR RD,10314,10314
CONEY ISLAND AV,11235,11235
ALLEY,11220,11220
CARGO SERVICE RD,11430,11430
SANFORD AV,11355,11355
MCGUINNESS BOULEVARD,11222,11222
W FORDHAM RD,10468,10468
BEACH 47 ST,11691,11691
WARWICK ST,11207,11207
VERRAZZANO BRIDGE APPROACH,10305,10305
ZECK CT,10314,10314
CORDELIA AV,10309,10309
TRINITY PL,10006,10006
NEPTUNE AV,11224,11224
111 AV,11435,11435
AV V,11229,11229
WALLABOUT ST,11206,11206
BRADDOCK AV,11426,11426
NATIONAL DR,11234,11234
AV N,11230,11230
W 246 ST,10471,10471
BEACH 37 ST,11691,11691
BRIGHTON 7 WALK,11235,11235
MORRIS AV,10457,10457
RANGE RD,11695,11695
65 AVE,11374,11374
E 130 ST,10037,10037
253 ST,11426,11426
SPRINGFIELD BLVD,11411,11411
DITMARS BLVD,11369,11369
PEACHTREE LN,10309,10309
BARD AV,10301,10301
FDR DR ENTRY RP,10038,10038
CLEVELAND ST,11208,11208
GW BR APPR,10033,10033
UNIONPORT RD,10462,10462
WASHINGTON AV,10456,10456
134 RD,11413,11413
136 ST,11355,11355
E 87 ST,11236,11236
165 AV,11414,11414
FT HAMILTON PKWY,11219,11219
ATLANTIC AV,11216,11216
BRUCKNER EXPRESSWAY EXIT 49 EB,10459,10474
PURDY AV,10314,10314
63 ST,11219,11219
FT HAMILTON PKWY,11218,11218
NELSON AV,10308,10308
WOOLLEY AV,10314,10314
HERKIMER ST,10301,10301
GREENWICH AV,10014,10011
216 ST,11364,11364
BROADWAY,10032,10032
FRANKLIN D ROOSEVELT DRIVE,10065,10065
MOSHOLU PKWY,10458,10458
24 AV,11102,11102
23 AV,11357,11357
HAMPTON PL,10309,10309
SELMOFF LA,10314,10314
HUTCHINSON RIVER PKWY,10461,10461
3 AV BRIDGE PED AND BIKE PATH,10035,10035
BRONX RIVER PKWY,10472,10472
LORIMER ST,11222,11222
PLIMPTON AV,10452,10452
2 AV,10022,10022
BLUE HERON CT,10312,10312
EASTCHESTER PL,10475,10475
WILLIAM CT,11691,11691
KINGS HWY,11203,11203
EMMONS AV,11235,11235
TURF RD,10314,10314
58 ST,11377,11377
VAN WYCK EXPY,11367,11367
MELROSE AV,10455,10455
QUEENS BLVD,11377,11377
MEADOW LAKE PR,11355,11355
ALLEY,11221,11221
ALLEY,11103,11103
S GANNON AV,10314,10314
HUTCHINSON RIVER PKWY,10465,10465
PAULIS PL,10464,10464
150 ST,11367,11367
N CONDUIT AV,11417,11417
W 129 ST,10027,10027
MYRTLE AV,10310,10310
IVES CT,11691,11691
228 ST,11411,11411
52 ST,11204,11204
ALEX HAMILTON BR,10033,10033
COLLEGE PT BLVD,11354,11354
BUSHWICK HOUSES PEDESTRIAN PATH,11206,11206
WADE SQ,10457,10457
SNYDER AV,11226,11226
SWEETBROOK RD,10312,10312
N BOUNDARY RD,11430,11430
E GUN HILL RD,10469,10469
E 108 ST,11236,11236
LONG ISLAND EXPY,11364,11364
VARIAN AV,10466,10466
SPRINGFIELD BLVD,11429,11429
UNION AV,10455,10455
133 AV,11420,11420
BELT PKWY,11235,11235
95 ST,11369,11369
63 DR,11374,11374
ATLANTIC AV,11208,11208
43 RD,11101,11101
ERIKA LOOP,10312,10312
JAMAICA AV,11435,11435
MAJOR DEEGAN EXPY ET 5 NB,10453,10453
SEDGWICK AVE,10452,10452
LAKEWOOD AV,11435,11435
JAMAICA AV,11428,11428
LENOX AV,10027,10027
BRIDGETON ST,11414,11414
E 172 ST,10460,10460
BROADWAY,10463,10463
ALLEY,10314,10314
LONG ISLAND EXPY,11374,11374
GRESHAM RD,10004,10004
BURKE AV,10469,10469
46 AV,11361,11361
115 DR,11412,11412
QUEENS PLZ S,11101,11101
CROSS BRONX EP SB ET 1A,10033,10033
8 ST,10306,10306
LEROY ST,10014,10014
LOTT AV,11212,11212
LINDEN BLVD,11203,11203
ALLEY,11373,11373
LEXINGTON AV,10016,10016
WILLOW RD W,10314,10314
148 AV,11413,11413
PEDESTRIAN AND BIKE PATH LINK,11209,11209
58 ST,11377,11377
24 RD,11357,11357
FRANKLIN AV,11355,11355
FARMERS BLVD,11412,11412
NORTHERN BLVD,11368,11368
141 ST,11357,11357
247 ST,11426,11426
FDR DR ENTRY RP,10038,10038
HILLSIDE TER,10308,10308
BRUCKNER BLVD,10472,10473
9 AV,10018,10018
WADHAMS ST,10465,10465
NERO AV,11423,11423
33 RD,11106,11106
HENDRIX ST,11207,11207
LOWELL ST,10306,10306
CROTONA PARK GREENWAY,10457,10457
E 165 ST,10456,10456
OCEAN VIEW AV,11235,11235
CATALPA PL,10465,10465
JUNIPER BLVD S,11379,11379
153 ST,11355,11355
HIGHLAND PARK GREENWAY,11385,11385
116 AV,11411,11411
PITKIN AV,11212,11212
OCEANVIEW PL,10308,10308
NOEL AV,11229,11229
ALLEY,11375,11375
CONNECTOR,10462,10462
E 74 ST,11234,11234
MAJOR DEEGAN EXWY,10471,10471
60 RD,11378,11378
37 AV,11368,11368
ROCKAWAY FWY,11691,11691
E BAY AV,10474,10474
FALCON AV,10306,10306
CONNECTOR,11423,11423
ALTAMONT ST,10306,10306
KINGS HWY,11234,11234
SEBA AV,11229,11229
216 ST,11360,11360
74 ST,11373,11373
DUMONT AV,11212,11212
BROADWAY,10034,10034
ALLEY,11413,11413
BAY ST,10301,10301
WOODSIDE AV,10304,10304
PEDESTRIAN PATH,10475,10475
W 186 ST,10033,10033
201 ST,11423,11423
HYLAN BLVD,10308,10308
WOODVALE AV,10309,10309
HANFORD ST,11362,11362
ROOSEVELT AV,11372,11372
MADISON ST,10038,10038
VAN WYCK EXPY,11420,11420
64 ST,11378,11378
WESTCHESTER AV,10461,10461
78 AV,11385,11385
ST MARKS PLACE,10301,10301
SPRINGFIELD BLVD,11413,11413
45 AV,11358,11358
BROADWAY,10013,10013
LINDEN BLVD,11203,11203
AMBOY ST,11212,11212
SPENCER ST,11205,11205
DRIVEWAY,11357,11357
BEAUMONT ST,11235,11235
BRIGHTON 4 ST,11235,11235
VICTORY BLVD,10314,10314
UNNAMED ST,11414,11414
79 ST,11373,11373
ALLEY,11358,11358
CENTRAL AV,11206,11206
FRANCIS LEWIS BLVD,11422,11422
YELLOWSTONE BLVD,11375,11375
MORRIS II HOUSES PEDESTRIAN PATH,10456,10456
RFK BRIDGE BRONX PED AND BIKE PATH,,
ROOSEVELT AV,11372,11372
NEW UTRECHT AV,11219,11219
RIDGE BLVD,11220,11220
8 AV,11215,11215
BELT PKWY,11235,11235
MARCY AV,11211,11211
NEWPORT ST,11207,11207
MADISON AV,10028,10028
AV B,10009,10009
E 7 RD,11693,11693
BEDFORD AV,11229,11229
20 AV,11357,11357
PEDESTRIAN UPAS,11373,11373
AV C,10009,10009
WILLIAMSBURG BR,11249,11249
LYLE CT,10306,10306
SUTTER AV,11420,11420
MADISON AV BRDG PED & BIKE PATH,10037,10037
E 26 ST,11229,11229
213 ST,11429,11429
FRAWLEY CIR,10029,10029
56 AV,11364,11364
14 AV,11357,11357
GRAND CENTRAL PY ET 11 WB,11375,11375
HARBOR VIEW PL S,10305,10305
16 AV,11204,11204
38 ST,11103,11103
BRADDOCK AV,11428,11428
ALBERT RD,11417,11417
SACKMAN ST,11212,11212
JEFFERSON AV,10306,10306
HENRY HUDSON PARKWAY ET 12 SB,10027,10027
104 AV,11412,11412
BAISLEY BLVD,11434,11434
FORDHAM ST,10464,10464
8 AV,11215,11215
E 34 ST,11210,11210
CUNNINGHAM RD,10309,10309
BAY 48 ST,11214,11214
CLEARVIEW EXWY,11427,11427
FRANCIS LEWIS BLVD,11422,11422
E 55 ST,10022,10022
ALLEY,,
96 ST,11209,11209
WATCHOGUE RD,10314,10314
31 ST,11105,11105
ALLEY,11207,11207
89 RD,11427,11427
ELDER AV,10472,10472
MARCY HOUSES PEDESTRIAN PATH,11206,11206
HYLAN BLVD,10307,10307
71 ST,11228,11228
204 ST,11423,11423
FLATLANDS AV,11236,11236
SPRINGFIELD BLVD,11429,11429
JACKIE ROBINSON PARKWAY EN WB,11375,11375
PUTNAM AV,11221,11221
CLAY PIT RD,10309,10309
81 ST,11372,11372
SEWARD AV,10473,10473
MYRTLE AV,11237,11237
E 2 ST,11230,11230
GRAND CONCOURSE,10458,10458
MCDONALD AVENUE,11218,11218
JEROME AV,10468,10468
PARK AV,10028,10028
41 AV,11363,11363
BELT PKWY,11214,11214
VICTORY BLVD FOOTBRIDGE,10301,10301
13 AV,11357,11357
236 ST,11422,11422
SEDGWICK AV,10452,10452
41 AV,11377,11377
VERONA PL,11216,11216
QUEENS PLZ,11101,11101
HHP SB EN W 158 ST,10032,10032
TURNBULL AVE,11236,11236
LEONARD ST,11222,11222
MATTHEWS PL,11236,11236
PELHAM PARKWAY GREENWAY,10461,10461
RIVERSIDE DR,10031,10031
ALLEY,,
HOLLERS AV,10475,10475
BAY VIEW HOUSES PEDESTRIAN PATH,11236,11236
HARING ST,11235,11235
ROBERT F KENNEDY BRG,11102,11102
ALLEY,11209,11209
LONG ISLAND EXPWY ET 22 A WB,11375,11375
3 AV,11217,11217
131 ST,11419,11419
3 AV,10029,10029
BORDEN AV,11101,11101
GRAND CONCOURSE,10452,10456
WASHINGTON BR,10453,10453
CROSS BAY BLVD,11414,11414
164 ST,11358,11358
WATCHOGUE RD,10314,10314
BROOK AV,10456,10456
140 ST,11436,11436
S 6 ST,11249,11249
VANDERVEER ST,11428,11428
103 ST,11417,11417
JEFFERSON AV,11221,11221
KOCH BR PEDESTRIAN AND BIKE PATH,11101,11101
WEST ST,11223,11223
VETERANS RD W,10309,10309
W 36 ST,11224,11224
ROCKAWAY BEACH BLVD,11694,11694
NEWKIRK AV,11226,11210
MULDOON AV,10309,10309
ALLEY,11213,11213
WILLIAMSBURG BR,10002,10002
MANHATTAN AV,11211,11211
ASTORIA BLVD S,11103,11103
OCEAN PKWY,11235,11235
40 AV,11363,11363
74 ST,11373,11373
E 21 ST,11210,11210
225 ST,11429,11429
LONG ISLAND EXPY,11374,11374
W 122 ST,10027,10027
116 ST,11419,11419
HUTCHINSON RIVER PKWY,10466,10466
WOOD ST,11412,11412
ROCKAWAY BEACH BLVD,11694,11694
DONLEY AV,10305,10305
37 ST,11218,11218
KOSCIUSZKO ST,11216,11216
W 19 ST,10011,10011
E 54 ST,10022,10022
204 ST,11423,11423
AV L,11210,11210
CORNAGA AV,11691,11691
140 AV,11413,11413
173 ST,11432,11432
GRAND CONCOURSE,10468,10458
62 ST,11378,11378
ALLEY,11236,11236
KINGS HWY,11234,11234
150 AV,11420,11420
77 ST,11417,11417
BEECH CT CIR,11356,11356
PRENTISS AV,10465,10465
E 38 ST,10016,10016
WILSON AV,11207,11207
ALLEN ST,10002,10002
BOSTON RD,10460,10460
ALLEY,11372,11372
5 AV,10110,10017
BEACH 91 ST,11693,11693
PRESTON AV,10312,10312
JEROME AV,10452,10452
STEINWAY ST,11105,11105
DRIGGS AV,11211,11211
CASTOR PL,10312,10312
MAJOR DEEGAN EXPWY ET 4 NB,10451,10451
SHAFTER AV,10308,10308
BROADWAY,10032,10032
CROSS BRONX EXPWY ET 9 WB,10465,10465
CORONA AV,11368,11368
138 ST,11415,11415
S CONDUIT AV EN CROSS BAY BLVD,11414,11414
UTOPIA PKWY,11365,11365
W 66 ST,10023,10023
BRONX RIVER PKWY,10460,10460
194 ST,11412,11412
BATCHELDER ST,11235,11235
89 AV,11423,11423
214 ST,11364,11364
BLAKE AV,11212,11212
FLATBUSH AV,11234,11234
115 AV,11411,11411
ALLEY,,
55 AV,11368,11368
E 137 ST,10454,10454
221 ST,11429,11429
VAN DOREN ST,11368,11368
62 AV,11379,11379
BEDELL AV,10307,10307
NORFOLK ST,10002,10002
JODIE CT,11203,11203
157 ST,11434,11434
HETT AV,10306,10306
BRUCKNER EXWY,10465,10465
HRD ET 24 NB AMSTERDAM AV,10033,10033
JAMAICA BAY WILDLIFE TRL,11693,11693
WHITE PLAINS RD,10462,10462
BARNES AV,10467,10467
SNYDER AV,11226,11226
178 ST,11434,11434
PEDESTRIAN PATH,10128,10128
ALLEY,11417,11417
W KINGSBRIDGE RD,10463,10463
148 ST,11355,11355
BRADDOCK AV,11427,11427
BAILEY AV,10463,10463
6 ST,11215,11215
TURNEUR AV,10473,10473
METROPOLITAN AV,11415,11415
226 ST,11413,11413
LINCOLN TUN BUS EXIT,10018,10018
ADEE AV,10469,10469
RFK BRIDGE PED AND BIKE PATH,10035,10035
COLUMBUS AV,10025,10025
6 AVE,10314,10314
METROPOLITAN AV,11385,11385
87 AV,11426,11426
AV C,10474,10474
34 AVE,11372,11372
E 177 ST,10460,10460
12 AVE,10023,10023
CLEAR WATER RD,11234,11234
175 ST,11434,11434
DOUGLASTON PKWY,11362,11362
208 ST,11429,11429
FORDHAM ST,10464,10464
W 5 ST,11224,11224
42 ST,11105,11105
HOME ST,10459,10459
ATLANTIC AV,11216,11216
CASTLE HILL HOUSES PED PATH,10473,10473
MAIN ST,11367,11367
MEXICO ST,11412,11412
FOSTER AV,11230,11230
WATERS AV,10302,10302
SANTIAGO ST,11423,11423
ALLEY,11214,11214
MIDLAND PKWY,11432,11432
E 182 ST,10457,10457
LOUIS NINE BLVD,10459,10459
CUNNINGHAM PARK SR,11423,11423
BROOKVILLE BLVD,11422,11422
READS LA,11691,11691
VOORHIES AV,11235,11235
93 ST,11416,11416
CAMERON AV,10305,10305
LINDEN BLVD,11226,11226
SOUTH END AV,10280,10280
SPRINGFIELD BLVD,11413,11413
71 AV,11365,11365
REGAL WALK CONDOMINIUM DVWY,10303,10303
S GANNON AV,10314,10314
W 242 ST,10471,10471
HIGHLAND PARK PATH,11385,11385
82 ST,11209,11209
NORTHERN BLVD,11101,11101
CONNECTOR,11692,11692
HAMILTON AVE,11231,11231
GOVERNORS ISLAND FERRY ROUTE,,
104 ST,11368,11368
BERGEN ST,11213,11213
WHITESTONE EXPRESSWAY ET 16 SB,11357,11357
GERRITSEN AV,11229,11229
ST JOHNS PLACE,11233,11233
GEORGIA RD,11355,11355
160 ST,11357,11357
JACKSON HOUSES PEDESTRIAN PATH,10451,10451
ALLEY,11235,11235
CLIFTON PL,11238,11238
BRONX RIVER PKWY,10467,10467
AMBOY RD,10307,10307
MAUJER ST,11206,11206
112 ST,11375,11375
E 23 ST,11229,11229
WHITE PLAINS RD,10473,10473
RANGER RD,11234,11234
WILLIAMS PL,11207,11207
107 AV,11433,11433
3 AV,11220,11220
CLINTONVILLE ST,11357,11357
82 AV,11415,11415
MERRICK BLVD,11413,11413
E 182 ST,10457,10457
QN MIDTOWN TUN PLZ,11101,11101
POSTAL FACILITY RD,11208,11208
ROCKLAND AV,10306,10306
W 116 ST,10026,10026
208 ST,11411,11411
FT WASHINGTON AV,10032,10032
3 AV,11220,11220
W 181 ST,10033,10033
69 ST,11378,11378
BERGEN ST,11213,11213
LILY POND AV,10305,10305
GREENPOINT AV,11222,11222
KINGSBRIDGE AV,10463,10463
103 ST,11417,11417
ALLEY,11236,11236
CONNECTOR,11236,11236
KINGS HWY,11229,11229
NUGENT AV,10305,10305
57 AV,11373,11373
KNIGHT CT,11229,11229
219 ST,11411,11411
SAGAMORE AV,11423,11423
67 ST,11377,11377
BIKE PATH,10044,10044
OCEAN AVE PEDESTRIAN BRG,11235,11235
GUY R BREWER BLVD,11433,11433
BRONX RIVER HOUSES PED PATH,10472,10472
E 177 ST,10462,10462
85 AV,11427,11427
PULASKI BR,11222,11222
115 AV,11420,11420
1 AV,10003,10003
152 AV,11420,11420
84 ST,11209,11209
EL CAMINO LOOP,10309,10309
AV S,11234,11234
KINGS HWY,11203,11203
TRANTOR PL,10302,10302
WOODHAVEN BLVD,11374,11374
HUDSON PL,10303,10303
ROOSEVELT AV,11354,11354
WESTCHESTER AVE,10459,10472
ALLEY,11105,11105
CANDON AV,10309,10309
W 131 ST,10027,10027
ALLEY,11105,11105
RICHMOND AV,10312,10312
E 221 ST,10469,10469
BARRETTO ST,10474,10474
W 93 ST,10025,10025
E 222 ST,10469,10469
BRADFORD ST,11207,11207
QUEENS MIDTOWN TUN,11101,11101
PORTAL ST,11233,11233
BEACH 58 ST,11692,11692
KINGS HWY,11234,11234
ROCKAWAY BEACH BLVD,11692,11692
167 ST,11358,11358
74 AV,11004,11004
W 91 ST,10024,10024
DARK ST,10466,10466
209 ST,11427,11427
CYPRESS HILLS ST,11385,11385
GRAND ST,10013,10013
BRADDOCK AV,11426,11426
HOLLIS CT BLVD,11365,11365
KOREAN WAR VETS PKWY,10309,10309
SPENCER DR,10465,10465
UNION ST,11225,11225
WEST END AV,10023,10023
97 AV,11416,11416
AV O,11230,11230
GREENLEAF AV,10310,10310
TIMBER RIDGE DR,10306,10306
DOUGLAS RD,10304,10304
17 AV,11357,11357
POILLON AV,10312,10312
220 ST,11428,11428
127 ST,11419,11419
BROADWAY,11373,11373
143 ST,11435,11435
188 ST,11365,11365
MAIN ST,10307,10307
BEDFORD PARK BL W,10468,10468
E 28 ST,11229,11229
OVINGTON AV,11220,11209
NORTHERN BLVD,11362,11362
JAMAICA AV,11423,11423
HYLAN BLVD,10309,10309
MOSEL AV,10304,10304
WEEKS LA,11361,11361
VAN CORTLANDT PARK GREENWAY,10463,10463
CASTLE HILL HOUSES PED PATH,10473,10473
KRAMER ST,10305,10305
110 AVE,11433,11433
HARVEST AV,10310,10310
E 38 ST,11203,11203
SOUTH BEACH GREENWAY,10305,10305
DREW ST,,11208
TIFFANY ST,10474,10474
GRAND CONCOURSE,10468,10458
OCEANSIDE AV,11697,11697
