,totalRooms,amount,zipcode,zindex,street,longitude,bathrooms,useCode,latitude,finishedSqFt,link,state,city,FIPScounty,lotSizeSqFt
150,,,10314.0,534900.0,13 President St,-74.13712,,SingleFamily,40.604271,2704.0,https://www.zillow.com/homedetails/13-President-St-Staten-Island-NY-10314/32291575_zpid/,NY,Staten Island,36085.0,4000.0
151,,847866.0,10314.0,534900.0,17 President St,-74.136978,,Duplex,40.604283,2296.0,https://www.zillow.com/homedetails/17-President-St-Staten-Island-NY-10314/32291574_zpid/,NY,Staten Island,36085.0,4000.0
152,,830051.0,10314.0,534900.0,21 President St,-74.136836,,Duplex,40.604309,2296.0,https://www.zillow.com/homedetails/21-President-St-Staten-Island-NY-10314/32291573_zpid/,NY,Staten Island,36085.0,4440.0
153,,796242.0,10314.0,534900.0,25 President St,-74.136696,,Duplex,40.60433,1960.0,https://www.zillow.com/homedetails/25-President-St-Staten-Island-NY-10314/32291572_zpid/,NY,Staten Island,36085.0,4800.0
154,,844736.0,10314.0,534900.0,29 President St,-74.136553,,Duplex,40.604341,2160.0,https://www.zillow.com/homedetails/29-President-St-Staten-Island-NY-10314/32291571_zpid/,NY,Staten Island,36085.0,4800.0
155,,863032.0,10314.0,534900.0,33 President St,-74.136407,,Duplex,40.604347,2476.0,https://www.zillow.com/homedetails/33-President-St-Staten-Island-NY-10314/32291570_zpid/,NY,Staten Island,36085.0,4830.0
156,,763849.0,10314.0,534900.0,37 President St,-74.136254,,Duplex,40.604357,1892.0,https://www.zillow.com/homedetails/37-President-St-Staten-Island-NY-10314/32291569_zpid/,NY,Staten Island,36085.0,4871.0
157,,,10456.0,353000.0,Fulton Ave,-73.906059,,SingleFamily,40.828791,,https://www.zillow.com/homedetails/Fulton-Ave-Bronx-NY-10456/112508794_zpid/,NY,Bronx,36005.0,1885.0
158,,,10456.0,353000.0,Fulton Ave,-73.905925,,SingleFamily,40.828972,,https://www.zillow.com/homedetails/Fulton-Ave-Bronx-NY-10456/112505857_zpid/,NY,Bronx,36005.0,11822.0
159,,,10456.0,353000.0,Fulton Ave,-73.906071,,SingleFamily,40.828748,,https://www.zillow.com/homedetails/Fulton-Ave-Bronx-NY-10456/112504895_zpid/,NY,Bronx,36005.0,1900.0
160,,,10456.0,353000.0,Fulton Ave,-73.903819,,SingleFamily,40.83084,,https://www.zillow.com/homedetails/Fulton-Ave-Bronx-NY-10456/112504645_zpid/,NY,Bronx,36005.0,158.0
161,,,10456.0,353000.0,Fulton Ave,-73.906253,,SingleFamily,40.82849,,https://www.zillow.com/homedetails/Fulton-Ave-Bronx-NY-10456/244424367_zpid/,NY,Bronx,36005.0,4658.0
162,,,10456.0,861500.0,1473 Fulton Ave APT 8,-73.942323,1.0,Apartment,40.680116,,https://www.zillow.com/homedetails/1473-Fulton-Ave-APT-8-Bronx-NY-10456/2091472802_zpid/,NY,Bronx,,
163,,,11433.0,446300.0,178th St,-73.77576,,SingleFamily,40.69718,1552.0,https://www.zillow.com/homedetails/178th-St-Jamaica-NY-11433/249299723_zpid/,NY,JAMAICA,36081.0,3000.0
164,,,11433.0,446300.0,178th St,-73.77447,,Duplex,40.69603,1400.0,https://www.zillow.com/homedetails/178th-St-Jamaica-NY-11433/247904292_zpid/,NY,JAMAICA,36081.0,4000.0
165,,545187.0,10033.0,,24-42 Bennett Ave APT 42B,-73.936317,1.0,Cooperative,40.851521,,https://www.zillow.com/homedetails/24-42-Bennett-Ave-APT-42B-New-York-NY-10033/219711179_zpid/,NY,New York,36061.0,
166,,,10033.0,,114 Bennett Ave,-73.935188,,SingleFamily,40.853974,14214.0,https://www.zillow.com/homedetails/114-Bennett-Ave-New-York-NY-10033/97535093_zpid/,NY,New York,36061.0,5000.0
167,,950974.0,10033.0,,114 Bennett Ave APT 2B,-73.935188,,Condominium,40.853974,1642.0,https://www.zillow.com/homedetails/114-Bennett-Ave-APT-2B-New-York-NY-10033/65322007_zpid/,NY,New York,36061.0,
168,,961640.0,10033.0,,114 Bennett Ave APT 2A,-73.935139,,Condominium,40.853831,1597.0,https://www.zillow.com/homedetails/114-Bennett-Ave-APT-2A-New-York-NY-10033/145595477_zpid/,NY,New york,36061.0,
169,,961640.0,10033.0,,114 Bennett Ave APT 2A,-73.935139,,Condominium,40.853831,1597.0,https://www.zillow.com/homedetails/114-Bennett-Ave-APT-2A-New-York-NY-10033/145595476_zpid/,NY,New york,36061.0,
170,,424438.0,10033.0,,44 Bennett Ave APT 4E,-73.936382,1.0,MultiFamily2To4,40.851954,650.0,https://www.zillow.com/homedetails/44-Bennett-Ave-APT-4E-New-York-NY-10033/2086206016_zpid/,NY,New York,,
171,,979177.0,10033.0,,114 Bennett Ave PENTHOUSE B,-73.935188,,Condominium,40.853974,1646.0,https://www.zillow.com/homedetails/114-Bennett-Ave-PENTHOUSE-B-New-York-NY-10033/65322012_zpid/,NY,New York,36061.0,
172,,269162.0,10033.0,,120 Bennett Ave APT 4G,-73.935035,,Cooperative,40.854274,,https://www.zillow.com/homedetails/120-Bennett-Ave-APT-4G-New-York-NY-10033/119913323_zpid/,NY,New York,36061.0,
173,,,10033.0,,44 Bennett Ave # 4E2,-73.936382,1.0,MultiFamily2To4,40.851954,650.0,https://www.zillow.com/homedetails/44-Bennett-Ave-4E2-New-York-NY-10033/2085136535_zpid/,NY,New York,,
174,,590673.0,10033.0,,100 Bennett Ave,-73.935595,,Cooperative,40.853372,66990.0,https://www.zillow.com/homedetails/100-Bennett-Ave-New-York-NY-10033/31554009_zpid/,NY,New York,36061.0,15750.0
175,,486075.0,10033.0,,120 Bennett Ave,-73.935035,1.0,Cooperative,40.854274,80600.0,https://www.zillow.com/homedetails/120-Bennett-Ave-New-York-NY-10033/31554010_zpid/,NY,New York,36061.0,18358.0
176,,611443.0,10033.0,,24 Bennett Ave,-73.936429,,Cooperative,40.851496,75522.0,https://www.zillow.com/homedetails/24-Bennett-Ave-New-York-NY-10033/31554005_zpid/,NY,New York,36061.0,17400.0
177,,348094.0,10033.0,,24 Bennett Ave APT 32B,-73.936429,,Cooperative,40.851496,,https://www.zillow.com/homedetails/24-Bennett-Ave-APT-32B-New-York-NY-10033/72536402_zpid/,NY,New York,36061.0,
178,3.0,,10033.0,,24 Bennett Ave APT 33A,-73.936429,1.0,Cooperative,40.851496,680.0,https://www.zillow.com/homedetails/24-Bennett-Ave-APT-33A-New-York-NY-10033/72536403_zpid/,NY,New York,36061.0,
179,3.0,396735.0,10033.0,,24 Bennett Ave APT 41B,-73.936429,1.0,Cooperative,40.851496,700.0,https://www.zillow.com/homedetails/24-Bennett-Ave-APT-41B-New-York-NY-10033/72536404_zpid/,NY,New York,36061.0,
180,4.0,803270.0,10033.0,,24 Bennett Ave APT 52A,-73.936429,1.0,SingleFamily,40.851496,,https://www.zillow.com/homedetails/24-Bennett-Ave-APT-52A-New-York-NY-10033/72536405_zpid/,NY,New York,36061.0,
181,,310870.0,10033.0,,100 Bennett Ave APT 1B,-73.935595,,Cooperative,40.853372,,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-1B-New-York-NY-10033/72536423_zpid/,NY,New York,36061.0,
182,4.0,423757.0,10033.0,,100 Bennett Ave APT 2C,-73.935595,1.0,Cooperative,40.853372,,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-2C-New-York-NY-10033/72536424_zpid/,NY,New York,36061.0,
183,,310870.0,10033.0,,100 Bennett Ave APT 2F,-73.935595,,Cooperative,40.853372,,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-2F-New-York-NY-10033/72536425_zpid/,NY,New York,36061.0,
184,4.0,791229.0,10033.0,,100 Bennett Ave APT 3J,-73.935595,1.5,Cooperative,40.853372,1100.0,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-3J-New-York-NY-10033/72536426_zpid/,NY,New York,36061.0,
185,,310870.0,10033.0,,100 Bennett Ave APT 5C,-73.935595,,Cooperative,40.853372,,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-5C-New-York-NY-10033/72536427_zpid/,NY,New York,36061.0,
186,,310870.0,10033.0,,100 Bennett Ave APT 6H,-73.935595,,Cooperative,40.853372,,https://www.zillow.com/homedetails/100-Bennett-Ave-APT-6H-New-York-NY-10033/72536428_zpid/,NY,New York,36061.0,
187,4.0,444207.0,10033.0,,120 Bennett Ave APT 1D,-73.935035,1.0,Cooperative,40.854274,900.0,https://www.zillow.com/homedetails/120-Bennett-Ave-APT-1D-New-York-NY-10033/72536430_zpid/,NY,New York,36061.0,
188,,308033.0,10033.0,,120 Bennett Ave APT 1E,-73.935035,1.0,Cooperative,40.854274,,https://www.zillow.com/homedetails/120-Bennett-Ave-APT-1E-New-York-NY-10033/72536431_zpid/,NY,New York,36061.0,
189,2.0,258969.0,10033.0,,120 Bennett Ave APT 1J,-73.935035,1.0,Cooperative,40.854274,375.0,https://www.zillow.com/homedetails/120-Bennett-Ave-APT-1J-New-York-NY-10033/72536432_zpid/,NY,New York,36061.0,
190,,,10301.0,,25 Silver Ct,-74.101237,3.0,SingleFamily,40.62567,2507.0,https://www.zillow.com/homedetails/25-Silver-Ct-Staten-Island-NY-10301/32277914_zpid/,NY,Staten Island,36085.0,8055.0
191,9.0,1079338.0,10301.0,,20 Silver Ct,-74.100959,5.0,SingleFamily,40.625167,3682.0,https://www.zillow.com/homedetails/20-Silver-Ct-Staten-Island-NY-10301/79732923_zpid/,NY,Staten Island,36085.0,5549.0
192,,970586.0,10301.0,,31 Silver Ct,-74.101489,3.0,SingleFamily,40.625643,2774.0,https://www.zillow.com/homedetails/31-Silver-Ct-Staten-Island-NY-10301/32277913_zpid/,NY,Staten Island,36085.0,7484.0
193,,491017.0,10301.0,,43 Silver Ct,-74.102,,SingleFamily,40.625587,1190.0,https://www.zillow.com/homedetails/43-Silver-Ct-Staten-Island-NY-10301/32277910_zpid/,NY,Staten Island,36085.0,4440.0
194,,638723.0,10301.0,,47 Silver Ct,-74.102144,,SingleFamily,40.625571,1782.0,https://www.zillow.com/homedetails/47-Silver-Ct-Staten-Island-NY-10301/32277909_zpid/,NY,Staten Island,36085.0,4329.0
195,,894967.0,10301.0,,48 Silver Ct,-74.101999,2.25,SingleFamily,40.625057,1910.0,https://www.zillow.com/homedetails/48-Silver-Ct-Staten-Island-NY-10301/32277874_zpid/,NY,Staten Island,36085.0,8215.0
196,,,10301.0,,11 Silver Ct,-74.100864,,SingleFamily,40.62571,,https://www.zillow.com/homedetails/11-Silver-Ct-Staten-Island-NY-10301/112116990_zpid/,NY,Staten island,36085.0,1000.0
197,,642950.0,10301.0,,11 Silver Ct,-74.100864,,SingleFamily,40.62571,1716.0,https://www.zillow.com/homedetails/11-Silver-Ct-Staten-Island-NY-10301/32277916_zpid/,NY,Staten Island,36085.0,4995.0
198,,857417.0,10301.0,,17 Silver Ct,-74.101026,,SingleFamily,40.625693,2647.0,https://www.zillow.com/homedetails/17-Silver-Ct-Staten-Island-NY-10301/32277915_zpid/,NY,Staten Island,36085.0,4995.0
199,,717270.0,10301.0,,35 Silver Ct,-74.101696,,SingleFamily,40.62562,1837.0,https://www.zillow.com/homedetails/35-Silver-Ct-Staten-Island-NY-10301/32277912_zpid/,NY,Staten Island,36085.0,5550.0
200,,619600.0,10301.0,,39 Silver Ct,-74.101856,,SingleFamily,40.625603,1616.0,https://www.zillow.com/homedetails/39-Silver-Ct-Staten-Island-NY-10301/32277911_zpid/,NY,Staten Island,36085.0,4440.0
201,8.0,969193.0,10301.0,,38 Silver Ct,-74.101722,4.0,SingleFamily,40.625086,2573.0,https://www.zillow.com/homedetails/38-Silver-Ct-Staten-Island-NY-10301/32277873_zpid/,NY,Staten Island,36085.0,8325.0
202,14.0,1062173.0,10301.0,,32 Silver Ct,-74.101496,2.5,SingleFamily,40.625111,3230.0,https://www.zillow.com/homedetails/32-Silver-Ct-Staten-Island-NY-10301/32277872_zpid/,NY,Staten Island,36085.0,5550.0
203,,776950.0,10301.0,,28 Silver Ct,-74.101316,,SingleFamily,40.62513,2074.0,https://www.zillow.com/homedetails/28-Silver-Ct-Staten-Island-NY-10301/32277871_zpid/,NY,Staten Island,36085.0,5550.0
204,,695978.0,10301.0,,24 Silver Ct,-74.101137,3.0,SingleFamily,40.62515,1288.0,https://www.zillow.com/homedetails/24-Silver-Ct-Staten-Island-NY-10301/32277870_zpid/,NY,Staten Island,36085.0,5550.0
205,,1307929.0,10301.0,,14 Silver Ct,-74.100739,5.0,SingleFamily,40.625209,3800.0,https://www.zillow.com/homedetails/14-Silver-Ct-Staten-Island-NY-10301/32277869_zpid/,NY,Staten Island,36085.0,8888.0
206,,612170.0,10301.0,,6 Silver Ct,-74.100465,,SingleFamily,40.625273,980.0,https://www.zillow.com/homedetails/6-Silver-Ct-Staten-Island-NY-10301/32277868_zpid/,NY,Staten Island,36085.0,4970.0
207,,905798.0,10301.0,,25 Silver Ct,-74.101237,,SingleFamily,40.62567,2507.0,https://www.zillow.com/homedetails/25-Silver-Ct-Staten-Island-NY-10301/217912684_zpid/,NY,Staten Island,36085.0,8055.0
208,,905798.0,10301.0,,25 Silver Ct,-74.101237,,SingleFamily,40.62567,2507.0,https://www.zillow.com/homedetails/25-Silver-Ct-Staten-Island-NY-10301/217912685_zpid/,NY,Staten Island,36085.0,8055.0
209,,911259.0,11358.0,,Northern Blvd,-73.79302,2.0,Townhouse,40.75776,2000.0,https://www.zillow.com/homedetails/Northern-Blvd-Flushing-NY-11358/2085712316_zpid/,NY,Flushing,,
210,,482107.0,11358.0,,Northern Blvd,-73.79302,2.0,Townhouse,40.75776,1000.0,https://www.zillow.com/homedetails/Northern-Blvd-Flushing-NY-11358/2085509162_zpid/,NY,Flushing,,
211,,1392258.0,11230.0,,11230 Bay Ave,-73.966096,2.0,SingleFamily,40.622751,1424.0,https://www.zillow.com/homedetails/11230-Bay-Ave-Brooklyn-NY-11230/2097834176_zpid/,NY,Brooklyn,,
212,,302245.0,11230.0,849100.0,1375 Ocean Ave APT 5N,-73.956747,1.0,MultiFamily2To4,40.628568,700.0,https://www.zillow.com/homedetails/1375-Ocean-Ave-APT-5N-Brooklyn-NY-11230/245042300_zpid/,NY,Brooklyn,36047.0,22000.0
213,,314708.0,11230.0,849100.0,1801 Ocean Ave APT 4N,-73.954535,,Cooperative,40.617972,,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-4N-Brooklyn-NY-11230/79489256_zpid/,NY,Brooklyn,36047.0,
214,,278839.0,11230.0,,275 Webster Ave APT 1N,-73.970918,1.0,Cooperative,40.633034,,https://www.zillow.com/homedetails/275-Webster-Ave-APT-1N-Brooklyn-NY-11230/79713929_zpid/,NY,Brooklyn,36047.0,
215,,234740.0,11230.0,,275 Webster Ave APT 2N,-73.970918,1.0,Cooperative,40.633034,600.0,https://www.zillow.com/homedetails/275-Webster-Ave-APT-2N-Brooklyn-NY-11230/79714365_zpid/,NY,Brooklyn,36047.0,
216,,302495.0,11230.0,,275 Webster Ave APT 5N,-73.970918,,Cooperative,40.633034,,https://www.zillow.com/homedetails/275-Webster-Ave-APT-5N-Brooklyn-NY-11230/79726242_zpid/,NY,Brooklyn,36047.0,
217,,333190.0,11230.0,849100.0,1801 Ocean Ave APT 6N,-73.954535,1.0,Condominium,40.617972,,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-6N-Brooklyn-NY-11230/82391207_zpid/,NY,Brooklyn,36047.0,
218,,306503.0,11230.0,849100.0,1360 Ocean Ave APT 2N,-73.95714,,Cooperative,40.628712,,https://www.zillow.com/homedetails/1360-Ocean-Ave-APT-2N-Brooklyn-NY-11230/89827549_zpid/,NY,Brooklyn,36047.0,
219,5.0,635603.0,11230.0,,345 Webster Ave APT 1N,-73.968895,2.0,Cooperative,40.634007,975.0,https://www.zillow.com/homedetails/345-Webster-Ave-APT-1N-Brooklyn-NY-11230/119912552_zpid/,NY,Brooklyn,36047.0,
220,,615124.0,11230.0,,345 Webster Ave APT 4N,-73.968897,1.5,Cooperative,40.634018,1000.0,https://www.zillow.com/homedetails/345-Webster-Ave-APT-4N-Brooklyn-NY-11230/119981438_zpid/,NY,Brooklyn,36047.0,
221,3.0,278869.0,11230.0,849100.0,1801 Ocean Ave APT 7N,-73.954535,1.0,Cooperative,40.617972,,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-7N-Brooklyn-NY-11230/122563237_zpid/,NY,Brooklyn,36047.0,
222,3.0,278869.0,11230.0,849100.0,1801 Ocean Ave APT 2N,-73.954535,1.0,Cooperative,40.617972,,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-2N-Brooklyn-NY-11230/123117022_zpid/,NY,Brooklyn,36047.0,
223,,385657.0,11230.0,849100.0,1801 Ocean Ave APT 4N,-73.954535,,Cooperative,40.617972,70884.0,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-4N-Brooklyn-NY-11230/244990415_zpid/,NY,Brooklyn,36047.0,20920.0
224,,604236.0,11230.0,,345 Webster Ave APT 6N,-73.968897,,Cooperative,40.634018,158230.0,https://www.zillow.com/homedetails/345-Webster-Ave-APT-6N-Brooklyn-NY-11230/244992096_zpid/,NY,Brooklyn,36047.0,39920.0
225,,604236.0,11230.0,,345 Webster Ave APT 4N,-73.968897,,Cooperative,40.634018,158230.0,https://www.zillow.com/homedetails/345-Webster-Ave-APT-4N-Brooklyn-NY-11230/244993857_zpid/,NY,Brooklyn,36047.0,39920.0
226,,385657.0,11230.0,849100.0,1801 Ocean Ave APT 3N,-73.954535,,Cooperative,40.617972,70884.0,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-3N-Brooklyn-NY-11230/244994333_zpid/,NY,Brooklyn,36047.0,20920.0
227,,356353.0,11230.0,849100.0,1360 Ocean Ave APT 2N,-73.95714,,Cooperative,40.628712,75852.0,https://www.zillow.com/homedetails/1360-Ocean-Ave-APT-2N-Brooklyn-NY-11230/244994796_zpid/,NY,Brooklyn,36047.0,18192.0
228,,269018.0,11230.0,,275 Webster Ave APT 1N,-73.970918,,Cooperative,40.633034,73584.0,https://www.zillow.com/homedetails/275-Webster-Ave-APT-1N-Brooklyn-NY-11230/244996426_zpid/,NY,Brooklyn,36047.0,20490.0
229,,269018.0,11230.0,,275 Webster Ave APT 4N,-73.970918,,Cooperative,40.633034,73584.0,https://www.zillow.com/homedetails/275-Webster-Ave-APT-4N-Brooklyn-NY-11230/244998073_zpid/,NY,Brooklyn,36047.0,20490.0
230,,385657.0,11230.0,849100.0,1801 Ocean Ave APT 7N,-73.954535,,Cooperative,40.617972,70884.0,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-7N-Brooklyn-NY-11230/244998156_zpid/,NY,Brooklyn,36047.0,20920.0
231,,357356.0,11230.0,849100.0,1375 Ocean Ave APT 1N,-73.956747,,Cooperative,40.628568,115200.0,https://www.zillow.com/homedetails/1375-Ocean-Ave-APT-1N-Brooklyn-NY-11230/245000321_zpid/,NY,Brooklyn,36047.0,22000.0
232,,385657.0,11230.0,849100.0,1801 Ocean Ave APT 6N,-73.954535,,Cooperative,40.617972,70884.0,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-6N-Brooklyn-NY-11230/245006352_zpid/,NY,Brooklyn,36047.0,20920.0
233,,385657.0,11230.0,849100.0,1801 Ocean Ave APT 5N,-73.954535,,Cooperative,40.617972,70884.0,https://www.zillow.com/homedetails/1801-Ocean-Ave-APT-5N-Brooklyn-NY-11230/245007042_zpid/,NY,Brooklyn,36047.0,20920.0
234,,357356.0,11230.0,849100.0,1375 Ocean Ave APT 6N,-73.956747,,Cooperative,40.628568,115200.0,https://www.zillow.com/homedetails/1375-Ocean-Ave-APT-6N-Brooklyn-NY-11230/245011686_zpid/,NY,Brooklyn,36047.0,22000.0
235,,269018.0,11230.0,,275 Webster Ave APT 3N,-73.970918,,Cooperative,40.633034,73584.0,https://www.zillow.com/homedetails/275-Webster-Ave-APT-3N-Brooklyn-NY-11230/245014169_zpid/,NY,Brooklyn,36047.0,20490.0
236,,771892.0,11375.0,,8743 69th Ave,-73.85596,,Duplex,40.710815,1216.0,https://www.zillow.com/homedetails/8743-69th-Ave-Flushing-NY-11375/32019913_zpid/,NY,Flushing,36081.0,2317.0
237,,771150.0,11375.0,,8741 69th Ave,-73.855978,,Duplex,40.710747,1216.0,https://www.zillow.com/homedetails/8741-69th-Ave-Flushing-NY-11375/32019914_zpid/,NY,Flushing,36081.0,2317.0
238,,757215.0,11375.0,,8737 69th Ave,-73.855996,1.5,SingleFamily,40.710684,1216.0,https://www.zillow.com/homedetails/8737-69th-Ave-Flushing-NY-11375/32019915_zpid/,NY,Flushing,36081.0,2317.0
239,,732445.0,11375.0,,8735 69th Ave,-73.856013,1.5,SingleFamily,40.710621,1216.0,https://www.zillow.com/homedetails/8735-69th-Ave-Flushing-NY-11375/32019916_zpid/,NY,Flushing,36081.0,2300.0
240,,729015.0,11375.0,,8733 69th Ave,-73.85603,,SingleFamily,40.710559,1216.0,https://www.zillow.com/homedetails/8733-69th-Ave-Flushing-NY-11375/32019917_zpid/,NY,Flushing,36081.0,2317.0
241,,728477.0,11375.0,,8731 69th Ave,-73.856047,,SingleFamily,40.7105,1216.0,https://www.zillow.com/homedetails/8731-69th-Ave-Flushing-NY-11375/32019918_zpid/,NY,Flushing,36081.0,2317.0
242,,727858.0,11375.0,,8729 69th Ave,-73.856064,,SingleFamily,40.710437,1216.0,https://www.zillow.com/homedetails/8729-69th-Ave-Flushing-NY-11375/32019919_zpid/,NY,Flushing,36081.0,2317.0
