,index,CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,BORO_NM,Latitude,Longitude
5291,5291,636189687,FELONY,MISCELLANEOUS PENAL LAW,BROOKLYN,40.66604157200004,-73.906966271
5292,5292,934512856,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.86141820300003,-73.90738708899994
5293,5293,142420389,VIOLATION,HARRASSMENT 2,BROOKLYN,40.67681575000006,-73.90811572099993
5294,5294,674519472,VIOLATION,HARRASSMENT 2,BRONX,40.82000332600006,-73.87041550599997
5295,5295,719476089,MISDEMEANOR,PETIT LARCENY,QUEENS,40.75609061900008,-73.93781354799995
5296,5296,222127868,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.67877609200008,-73.86663755699995
5297,5297,706991587,VIOLATION,HARRASSMENT 2,MANHATTAN,40.73611027700008,-73.98065316799993
5298,5298,158332272,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.85265244500005,-73.90841864899994
5299,5299,868953141,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.750430768000044,-73.98928217599996
5300,5300,762100456,FELONY,GRAND LARCENY,BROOKLYN,40.70756983200005,-73.96672092799997
5301,5301,920410129,FELONY,MISCELLANEOUS PENAL LAW,MANHATTAN,40.73167342800008,-73.99310984799997
5302,5302,650024651,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.62215389700003,-74.02728485599994
5303,5303,698413740,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.66125082600007,-73.99174025499997
5304,5304,836415875,FELONY,ROBBERY,BROOKLYN,40.684655021000026,-73.86869182399995
5305,5305,150193322,MISDEMEANOR,SEX CRIMES,MANHATTAN,40.75393893800003,-73.99484365499995
5306,5306,418882062,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,40.623226819000074,-74.14922697299994
5307,5307,880931626,MISDEMEANOR,FRAUDS,MANHATTAN,40.78264042200004,-73.97313252999999
5308,5308,955714839,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.76914830000004,-73.95811593899998
5309,5309,578318999,FELONY,FELONY ASSAULT,MANHATTAN,40.790746414000076,-73.95063404199995
5310,5310,493873944,VIOLATION,HARRASSMENT 2,BROOKLYN,40.677464989000036,-73.88257532899995
5311,5311,123982162,FELONY,ROBBERY,BROOKLYN,40.68675316000007,-73.96552699999995
5312,5312,303450704,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.66562077400005,-73.93837369699997
5313,5313,161737176,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.72966170600006,-74.00220597099997
5314,5314,270290134,MISDEMEANOR,PETIT LARCENY,QUEENS,40.76790028400006,-73.78888447499997
5315,5315,775618175,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,QUEENS,40.70274849600002,-73.79841749499997
5316,5316,736951787,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,40.625563328000055,-74.07550839399995
5317,5317,444738404,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,BROOKLYN,40.57916961600006,-73.98308897599996
5318,5318,230076317,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.75012867000004,-73.98753177899994
5319,5319,826374639,FELONY,FORGERY,BROOKLYN,40.64870676900005,-73.90513094099998
5320,5320,814244364,VIOLATION,HARRASSMENT 2,BROOKLYN,40.67170959300007,-73.93502270099998
5321,5321,442404062,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,BROOKLYN,40.57482547700005,-73.99092660999997
5322,5322,750841899,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.83692488600008,-73.88639202999997
5323,5323,589029718,VIOLATION,HARRASSMENT 2,MANHATTAN,40.804595074000076,-73.94781354199995
5324,5324,385043816,MISDEMEANOR,PETIT LARCENY,QUEENS,40.70355491400005,-73.79967738599998
5325,5325,976653806,FELONY,GRAND LARCENY,BRONX,40.84424070500006,-73.88757947499995
5326,5326,993880016,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.64410021000003,-73.95987362999993
5327,5327,540893714,VIOLATION,HARRASSMENT 2,BROOKLYN,40.70483018900006,-73.95729073699994
5328,5328,333532198,FELONY,FELONY ASSAULT,QUEENS,40.69211997800004,-73.80434549699999
5329,5329,504693617,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,MANHATTAN,40.82159261600003,-73.94103659499996
5330,5330,408604350,VIOLATION,HARRASSMENT 2,STATEN ISLAND,40.570134825000025,-74.12314916299994
5331,5331,824896020,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,QUEENS,40.70619828100007,-73.91493894299998
5332,5332,717993728,FELONY,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,40.826285879000075,-73.93552576999997
5333,5333,452259622,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.750430768000044,-73.98928217599996
5334,5334,291747170,VIOLATION,HARRASSMENT 2,QUEENS,40.718090725000025,-73.88029239899998
5335,5335,258522950,VIOLATION,HARRASSMENT 2,BROOKLYN,40.678623092000066,-73.87713289299995
